case_id,Ft,Fh2,NO3In_H2O_Flow,NO3In_CL_Flow,NO3In_NA_Flow,NO3In_NO3_Flow,NO3In_SO4_Flow
1,8500.0,5.0,7621.015,453.90000000000003,330.565,78.625,15.895
2,8500.0,5.416666666666667,7621.015,453.90000000000003,330.565,78.625,15.895
3,8500.0,5.833333333333333,7621.015,453.90000000000003,330.565,78.625,15.895
4,8500.0,6.25,7621.015,453.90000000000003,330.565,78.625,15.895
5,8500.0,6.666666666666667,7621.015,453.90000000000003,330.565,78.625,15.895
6,8500.0,7.083333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
7,8500.0,7.5,7621.015,453.90000000000003,330.565,78.625,15.895
8,8500.0,7.916666666666667,7621.015,453.90000000000003,330.565,78.625,15.895
9,8500.0,8.333333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
10,8500.0,8.75,7621.015,453.90000000000003,330.565,78.625,15.895
11,8500.0,9.166666666666668,7621.015,453.90000000000003,330.565,78.625,15.895
12,8500.0,9.583333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
13,8500.0,10.0,7621.015,453.90000000000003,330.565,78.625,15.895
14,8500.0,10.416666666666668,7621.015,453.90000000000003,330.565,78.625,15.895
15,8500.0,10.833333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
16,8500.0,11.25,7621.015,453.90000000000003,330.565,78.625,15.895
17,8500.0,11.666666666666668,7621.015,453.90000000000003,330.565,78.625,15.895
18,8500.0,12.083333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
19,8500.0,12.5,7621.015,453.90000000000003,330.565,78.625,15.895
20,8500.0,12.916666666666668,7621.015,453.90000000000003,330.565,78.625,15.895
21,8500.0,13.333333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
22,8500.0,13.75,7621.015,453.90000000000003,330.565,78.625,15.895
23,8500.0,14.166666666666668,7621.015,453.90000000000003,330.565,78.625,15.895
24,8500.0,14.583333333333334,7621.015,453.90000000000003,330.565,78.625,15.895
