t,cf_wind,y_A_on,y_U_on,P_wind,P_grid,P_el,M_H2_prod,M_O2_prod,M_H2O_el,total_electric_load,ch_B,dis_B,I_B,hydrogen_charge_mode,ch_H,dis_H,I_H,I_C,I_NH3,Ft,Fh2,Fnh3,Fco2,F_NH3_A,F_H2O_A,F_NH3_strip,Q_S,Q_rec,Q_HU,P_HU_el,F_U,w_U,E_A,E_U,Ft_spill,Fco2_spill,ammonia_charge_mode,ch_NH3,dis_NH3,W_cap,E_cap,E_cap_incremental,B_cap,H_cap,C_cap,NH3_cap,HX_cap,K_nh3_plant_tpy,K_urea_plant_tpy,E_cap_included_in_nh3,nh3_plant_capex,urea_plant_capex,ammonia_reactor_length_m,ammonia_reactor_diameter_m,ammonia_reactor_volume_m3,urea_reactor_length_m,urea_reactor_diameter_m,urea_reactor_volume_m3,Ft_op,Fh2_op,Fnh3_op,Fco2_op,F_NH3_A_op,F_H2O_A_op,E_A_op,F_U_op,w_U_op,E_U_op
0,0.021468,1.0,1,0.2793079837673625,508.23071047323333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.278090615096269,143.52406260943883,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
1,0.016452,1.0,1,0.21404764994133818,508.23071047323333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.343350948922294,135.79421950531008,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,-0.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
2,0.013938,1.0,1,0.18133942042805565,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.376059178435576,128.0299466859042,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,-0.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
3,0.015609,1.0,1,0.203079854603352,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.354318744260279,120.28855853405128,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,-0.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
4,0.020609,1.0,1,0.26813202149532206,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.289266577368309,112.61564634734779,-0.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
5,0.03494,1.0,1,0.4545845422410865,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,7.102814056622545,105.13899997195566,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,-0.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
6,0.069596,1.0,1,0.9054741214027092,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,6.6519244774609225,98.13697420620731,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
7,0.111914,1.0,1,1.4560496411095867,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,6.101348957754045,91.71450161909779,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
8,0.167074,1.0,1,2.1737051462618,508.23071047323333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,5.383693452601832,86.04745587951692,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
9,0.217229,1.0,1,2.8262434323551515,508.2307104732333,7.557398598863632,7.406250626886359,59.25000501509087,66.65625564197722,515.788109072097,0.0,4.73115516650848,81.06729254635009,1.0,0.0,0.0,0.005833222180127162,0.0,0.0,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,9.176151210036748,65.15067359126091,65.15067359126091,0.0,0.0,5.208333333333333,0.3363439223025479,346.1916825330121,161.0390279402212,580.0,150.0,1.0,0.0,0.0,13.010433378394005,377.8699299431816,368.5065103411033,551.2315613194173,0.005833222180127162,0.0,0.0,65.15067359126091,73.40920968029398,41.666666666666664,9.363419602078315,191678327.62672886,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8500.0,7.406250626886359,9.176151210036734,50.0,9.176151210036748,2302.786376953125,346.1916825330121,5.208333333333333,0.3363439223025479,161.0390279402212
