t,cf_wind,y_A_on,y_U_on,P_wind,P_grid,P_el,M_H2_prod,M_O2_prod,M_H2O_el,total_electric_load,ch_B,dis_B,I_B,hydrogen_charge_mode,ch_H,dis_H,I_H,I_C,I_NH3,Ft,Fh2,Fnh3,Fco2,F_NH3_A,F_H2O_A,F_NH3_strip,Q_S,Q_rec,Q_HU,P_HU_el,F_U,w_U,E_A,E_U,Ft_spill,Fco2_spill,ammonia_charge_mode,ch_NH3,dis_NH3,W_cap,E_cap,E_cap_incremental,B_cap,H_cap,C_cap,NH3_cap,HX_cap,K_nh3_plant_tpy,K_urea_plant_tpy,E_cap_included_in_nh3,nh3_plant_capex,urea_plant_capex,ammonia_reactor_length_m,ammonia_reactor_diameter_m,ammonia_reactor_volume_m3,urea_reactor_length_m,urea_reactor_diameter_m,urea_reactor_volume_m3,Ft_op,Fh2_op,Fnh3_op,Fco2_op,F_NH3_A_op,F_H2O_A_op,E_A_op,F_U_op,w_U_op,E_U_op
0,0.021468,-0.0,1,38.92989544422401,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,124.05935326143904,3416.640529579456,1.0,0.0,0.0,15.442815460283317,0.0,112.98145960836814,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
1,0.016452,-0.0,1,29.83392210957581,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,133.15532659608724,3276.477027899364,1.0,0.0,0.0,15.442815460283317,0.0,103.07296915508694,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
2,0.013938,-0.0,1,25.27505509137294,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,137.7141936142901,3131.5147188316905,1.0,0.0,0.0,15.442815460283317,0.0,93.16447870180575,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
3,0.015609,-0.0,1,28.30523281110921,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,134.68401589455382,2989.7420705216337,1.0,0.0,0.0,15.442815460283317,0.0,83.25598824852455,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
4,0.020609,-0.0,1,37.37219187674737,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,125.61705682891568,2857.513589649091,1.0,0.0,0.0,15.442815460283317,0.0,73.34749779524336,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
5,0.03494,-0.0,1,63.35990995067947,0.0,0.0,0.0,0.0,0.0,162.98924870566304,0.0,99.62933875498356,2752.6406014859504,1.0,0.0,0.0,15.442815460283317,0.0,63.43900734196216,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
6,0.069596,1.0,1,126.20481662643071,0.0,0.0,0.0,0.0,0.0,590.1670691326389,0.0,463.96225250620796,2264.259283058363,-0.0,0.0,9.61077612402344,5.6359010480144995,0.0,65.70028109686038,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,12.131584940610967,86.13425307833786,86.13425307833786,0.0,0.0,5.208333333333333,0.36638087806051356,426.21674281457337,161.98924870566304,297.7384421213592,150.0,1.0,2.272636939596177,0.0,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
7,0.111914,-0.0,1,202.94393137436583,0.0,38.44753913462547,0.7535717670386592,6.028574136309274,6.782145903347933,202.94393137436583,0.0,0.0,2264.259283058363,1.0,0.7535717670386592,0.0,6.374401379712386,0.0,55.79179064357918,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
8,0.167074,-0.0,1,302.97062378648604,0.0,134.7010922640714,2.6401414083757992,21.121131267006394,23.761272675382195,302.97062378648604,0.0,0.0,2264.259283058363,1.0,2.6401414083757992,0.0,8.96173995992067,0.0,45.88330019029799,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
9,0.217229,-0.0,1,393.92129017390243,0.0,222.2209790879902,4.355531190124608,34.84424952099686,39.19978071112147,393.92129017390243,0.0,0.0,2264.259283058363,1.0,4.355531190124608,0.0,13.230160526242786,0.0,35.97480973701679,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
10,0.253232,-0.0,1,459.2088356219366,0.0,285.0457918747821,5.586897520745729,44.69518016596583,50.28207768671156,459.2088356219366,0.0,0.0,2264.259283058363,1.0,5.586897520745729,0.0,18.7053200965736,0.0,26.0663192837356,0.0,0.0,9.85894800101479,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.208333333333333,0.36638087806051356,0.0,161.98924870566304,9080.0,150.0,-0.0,0.0,9.85894800101479,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
11,0.260111,1.0,1,471.68315790444154,0.0,45.42543639820168,0.890338553404753,7.122708427238024,8.013046980642777,635.5034716754999,0.0,163.82031377105852,2091.8168475098805,-0.0,0.0,8.720437570618687,9.806914412268817,0.0,28.327593038633793,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,12.131584940610967,86.13425307833786,86.13425307833786,0.0,0.0,5.208333333333333,0.36638087806051356,426.21674281457337,161.98924870566304,297.7384421213592,150.0,1.0,2.272636939596177,0.0,1813.3918131276323,490.34572061344085,477.96655230669495,3547.229322486234,20.624106712424975,0.0,482.3502489539221,86.13425307833786,97.05267952488774,41.666666666666664,12.379168306745886,191703555.20905304,95824833.33333333,10.0,1.0,7.853981633974483,20.0,2.5,98.17477042468104,8782.26155787864,9.61077612402344,9.85894800101479,50.0,12.131584940610967,2302.786376953125,426.21674281457337,5.208333333333333,0.36638087806051356,161.98924870566304
