run_index,total_runs,status,config_id,layers,num_hidden_layers,max_epochs,learning_rate,batch_size,patience,min_delta,l2_reg,seed,train_rows,val_rows,test_rows,duration_sec,epochs_ran,best_train_loss,best_val_loss,train_mae,train_rmse,train_mape_pct,train_r2,val_mae,val_rmse,val_mape_pct,val_r2,test_mae,test_rmse,test_mape_pct,test_r2,trainable_parameters,error_message
1,16,ok,"layers=3,3|epochs=2000|lr=0.003|batch=128|patience=10|min_delta=1e-05|l2=1e-07|seed=15","3,3",2,2000,0.003,128,10,1e-05,1e-07,15,673,145,145,50.931032099999356,985,0.0029184066224843264,0.0030856565572321415,0.2312261313199997,0.3107477893720026,0.15046882908791304,0.9971014857292175,0.24955612421035767,0.32110031288289737,0.16178727382794023,0.9969986081123352,0.25078946352005005,0.3276872553274233,0.16246347222477198,0.9967072010040283,25,
2,16,ok,"layers=4,3|epochs=2000|lr=0.0005|batch=64|patience=25|min_delta=1e-05|l2=0|seed=15","4,3",2,2000,0.0005,64,25,1e-05,0.0,15,673,145,145,51.28883280000082,956,0.028298739343881607,0.032295629382133484,0.5447126626968384,0.9711918051725079,0.3658310975879431,0.9716880321502686,0.5182801485061646,1.037367161898725,0.35045319236814976,0.9686740040779114,0.5299568772315979,0.9548836102387718,0.35555739887058735,0.9720392823219299,31,
3,16,ok,"layers=12,8,4|epochs=2000|lr=0.0005|batch=256|patience=10|min_delta=1e-05|l2=1e-06|seed=15","12,8,4",3,2000,0.0005,256,10,1e-05,1e-06,15,673,145,145,90.90828309999961,1793,0.0010652614291757345,0.0011733678402379155,0.12741589546203613,0.18415298915651462,0.08375114412046969,0.9989820718765259,0.1330869495868683,0.19444981789449206,0.0869551906362176,0.9988993406295776,0.13291141390800476,0.18035737890655684,0.08695732103660703,0.9990025162696838,181,
4,16,ok,"layers=8,5,3|epochs=2000|lr=0.0005|batch=256|patience=10|min_delta=1e-05|l2=0|seed=15","8,5,3",3,2000,0.0005,256,10,1e-05,0.0,15,673,145,145,96.88525070000105,2000,0.0017378535121679306,0.0022042114287614822,0.14084836840629578,0.24069399401894132,0.09427295299246907,0.998261034488678,0.15017352998256683,0.2715943203052015,0.10091112926602364,0.9978527426719666,0.15488891303539276,0.24683414827432715,0.10324427857995033,0.9981316328048706,91,
5,16,ok,"layers=4,3|epochs=1000|lr=0.0015|batch=64|patience=25|min_delta=1e-05|l2=1e-06|seed=15","4,3",2,1000,0.0015,64,25,1e-05,1e-06,15,673,145,145,35.81873760000053,619,0.027714909985661507,0.03161388263106346,0.49675190448760986,0.9585938445124622,0.3351445309817791,0.9724177718162537,0.47509533166885376,1.0262391857176816,0.3229781985282898,0.9693424701690674,0.4792037308216095,0.9382411570245366,0.3231368958950043,0.9730054140090942,31,
6,16,ok,"layers=10,6,3|epochs=1000|lr=0.0005|batch=128|patience=25|min_delta=1e-05|l2=1e-06|seed=15","10,6,3",3,1000,0.0005,128,25,1e-05,1e-06,15,673,145,145,54.017598099999304,1000,0.004198507405817509,0.005222656764090061,0.19728371500968933,0.3716610637735706,0.1319700269959867,0.9958537817001343,0.21459540724754333,0.4158272831781827,0.14388150302693248,0.9949665665626526,0.23810897767543793,0.4075638177256933,0.1591471373103559,0.9949062466621399,121,
7,16,ok,"layers=12,8,4|epochs=2000|lr=0.003|batch=64|patience=10|min_delta=1e-05|l2=1e-07|seed=15","12,8,4",3,2000,0.003,64,10,1e-05,1e-07,15,673,145,145,15.28770429999895,244,0.000567343202419579,0.0006782928830944002,0.10204202681779861,0.14029051153874197,0.06687082350254059,0.9994092583656311,0.11192616075277328,0.1501923033731577,0.07324280450120568,0.9993433356285095,0.11056549847126007,0.15397497593583298,0.0722631171811372,0.9992730021476746,181,
8,16,ok,"layers=6,3|epochs=400|lr=0.001|batch=64|patience=10|min_delta=1e-05|l2=1e-07|seed=15","6,3",2,400,0.001,64,10,1e-05,1e-07,15,673,145,145,24.064898900000117,400,0.01952010579407215,0.024322712793946266,0.43377557396888733,0.8058406382022203,0.2918945858255029,0.9805079102516174,0.45528921484947205,0.900147775597884,0.30767088755965233,0.9764132499694824,0.44611942768096924,0.8298802397973809,0.30011250637471676,0.978880763053894,43,
9,16,ok,"layers=10,6,3|epochs=400|lr=0.005|batch=128|patience=10|min_delta=1e-05|l2=1e-07|seed=15","10,6,3",3,400,0.005,128,10,1e-05,1e-07,15,673,145,145,24.34209809999993,400,0.0009076311835087836,0.0011140945134684443,0.10943147540092468,0.17078717015572467,0.07251105853356421,0.9991244673728943,0.11608266085386276,0.19320848145176575,0.07710480713285506,0.9989133477210999,0.1268576830625534,0.18276397395230032,0.0835524988360703,0.9989756941795349,121,
10,16,ok,"layers=10,6,3|epochs=2000|lr=0.003|batch=256|patience=10|min_delta=1e-05|l2=1e-06|seed=15","10,6,3",3,2000,0.003,256,10,1e-05,1e-06,15,673,145,145,46.26129459999902,908,0.0009815898956730962,0.0011700878385454416,0.10502263903617859,0.17663700759740236,0.06995809962972999,0.9990634918212891,0.10925418883562088,0.19481125408431396,0.0731159932911396,0.9988952279090881,0.13388577103614807,0.21267454748315182,0.08873629267327487,0.9986129999160767,121,
11,16,ok,"layers=8,5|epochs=1000|lr=0.0005|batch=64|patience=10|min_delta=1e-05|l2=0|seed=15","8,5",2,1000,0.0005,64,10,1e-05,0.0,15,673,145,145,57.848327300000165,1000,0.0008347141556441784,0.0009965569479390979,0.08949127793312073,0.16570367676329664,0.060008664149791,0.9991757869720459,0.0935877338051796,0.18220884394390593,0.06297340732999146,0.9990335702896118,0.10347174108028412,0.18327884857867968,0.06904533365741372,0.9989699125289917,75,
12,16,ok,"layers=10,6,3|epochs=2000|lr=0.0015|batch=128|patience=25|min_delta=1e-05|l2=1e-06|seed=15","10,6,3",3,2000,0.0015,128,25,1e-05,1e-06,15,673,145,145,40.90012509999906,747,0.0010050225537270308,0.0012193613220006227,0.10567282885313034,0.18370402859076793,0.07042426732368767,0.9989870190620422,0.11000250279903412,0.19791372928614676,0.07350613013841212,0.9988597631454468,0.1266079545021057,0.21491716171027425,0.08410905138589442,0.9985836148262024,121,
